0,Blekinge
1,Dalarna
2,Gotland
3,Gävleborg
4,Halland
5,Jämtland Härjedalen
6,Jönköping
7,Kalmar
8,Kronoberg
9,Norrbotten
10,Skåne
11,Stockholm
12,Södermanland
13,Uppsala
14,Värmland
15,Västerbotten
16,Västernorrland
17,Västmanland
18,Västra Götaland
19,Örebro
20,Östergötland
