Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,8.24,11.53,44.19,7.25,1,
1,68.53,105.92,81.76,-161.43,-3,
2,42.85,64.87,274.34,-165.4,1,
3,235.15,436.32,99.54,-1553.99,1,
4,276.19,445.15,52.16,-793.18,-3,0.0
5,58.48,92.03,122.85,-171.32,1,
6,32.8,49.12,119.05,-72.84,0,
7,28.4,48.39,99.79,-156.11,1,
8,24.89,41.17,60.86,-102.7,-4,
9,502.61,728.38,53.88,-1923.31,-3,1.0
10,190.76,307.07,134.94,-799.95,-3,
11,23.35,30.8,52.97,-70.4,1,
12,34.86,53.55,290.63,-183.47,1,
13,31.21,51.49,160.95,1.98,1,
14,204.6,316.45,405.73,-892.57,-4,
15,154.99,248.77,219.8,-637.89,0,
16,42.41,64.63,121.56,-153.39,-5,
17,98.46,152.29,274.09,-241.12,0,
18,62.65,91.87,37.71,-129.44,1,
19,128.6,206.22,102.78,-600.27,1,
20,92.35,156.23,202.57,-492.6,1,
21,18.64,27.55,116.35,-48.84,1,
22,165.93,240.07,193.37,-505.29,0,
23,107.14,150.13,168.35,-295.23,1,
24,119.96,173.48,452.33,-415.65,-5,
25,36.95,59.14,46.7,-175.56,1,
26,21.5,31.41,103.97,-92.08,-1,
27,238.56,397.38,81.86,-1281.69,0,
28,8.19,11.7,92.12,-29.91,1,
29,30.08,45.0,133.76,-105.79,-4,
30,17.22,24.68,56.48,-54.05,-1,
31,150.63,220.09,124.62,-611.15,-4,
32,28.68,43.46,234.15,74.74,1,
33,44.37,72.17,163.76,89.1,1,
34,284.32,401.37,197.41,-815.7,-3,0.0
35,439.76,730.66,349.86,-2225.47,0,
36,86.69,119.9,245.63,-105.01,1,
37,57.92,93.38,103.43,110.38,-4,
38,613.37,953.95,116.44,-2589.55,-1,1.0
39,24.8,40.31,49.84,-118.02,0,
40,143.38,256.1,98.98,-844.23,1,
41,12.25,20.79,153.22,-73.24,1,
42,99.2,135.18,207.28,-126.99,-4,
43,294.32,523.15,378.91,-1780.38,1,1.0
44,51.25,78.55,74.12,-237.2,1,
45,122.12,196.65,81.8,-613.39,1,
46,8.74,12.66,65.11,-33.63,1,
47,60.82,93.88,183.8,-40.03,-4,
48,104.09,169.95,179.54,-462.18,0,
49,57.43,88.01,130.0,-235.5,0,
50,12.9,18.58,96.54,-20.2,1,
