Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,3.42,5.4,70.19,-4.49,0,
1,6.89,12.05,33.14,-17.61,1,1.0
2,2.62,3.96,57.32,-8.19,1,
3,8.01,14.6,71.11,-46.46,1,
4,5.53,8.11,44.63,-10.78,0,
5,0.0,0.0,,0.0,18,
6,7.93,11.59,52.69,-21.35,-1,
7,5.46,8.25,57.68,-16.52,4,
8,6.66,10.88,95.4,-11.08,1,
9,3.99,6.27,54.67,4.4,-1,
10,14.93,21.42,33.46,-41.91,0,1.0
11,35.99,49.38,37.99,-98.54,0,1.0
12,5.19,8.57,38.51,-21.92,1,1.0
13,9.84,15.64,59.67,9.69,-1,-3.0
14,4.11,7.29,26.86,-12.15,0,0.0
15,7.71,11.72,56.11,-20.39,1,
16,7.66,12.77,56.22,3.96,1,1.0
17,3.59,6.32,42.55,0.56,0,
18,18.03,25.65,33.49,-53.81,0,1.0
19,5.97,8.82,35.55,-15.71,1,
20,6.97,11.69,36.93,-23.5,1,
