Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,8.55,12.83,39.57,14.91,1,
1,63.91,101.07,28.23,-170.15,-3,
2,36.87,67.54,38.41,-156.63,1,
3,186.48,395.24,47.35,-1359.7,1,
4,288.93,462.17,22.71,-800.52,-3,1.0
5,50.88,97.28,27.19,-167.12,1,
6,32.0,48.88,49.03,-64.13,1,
7,23.7,43.45,63.41,-136.86,1,
8,19.88,36.48,36.67,-90.25,1,
9,339.43,552.17,29.97,-1628.52,1,1.0
10,152.15,275.69,38.88,-744.65,-3,
11,15.39,22.19,34.5,-55.3,1,
12,28.4,55.82,46.94,-156.62,1,
13,26.15,43.61,48.43,-46.36,1,
14,155.55,287.74,36.59,-784.74,1,
15,123.73,211.85,37.64,-483.24,0,
16,34.91,59.4,36.97,-115.28,1,
17,80.9,136.94,32.9,-171.67,1,
18,55.47,85.06,24.97,-103.65,1,
19,100.52,193.54,28.99,-538.68,1,
20,69.64,141.22,29.59,-425.49,2,
21,14.99,23.29,82.53,-17.72,1,
22,120.92,191.65,41.28,-345.42,1,
23,78.59,137.74,48.89,-241.73,1,
24,95.97,162.27,28.43,-324.08,1,
25,34.32,58.14,29.86,-152.46,1,
26,15.9,25.92,53.27,-75.23,1,
27,179.39,342.4,36.22,-1148.64,1,
28,7.09,11.61,41.58,-24.08,1,
29,25.02,43.31,38.6,-92.24,1,
30,14.78,22.46,32.79,-46.17,0,
31,102.58,200.09,26.14,-524.02,1,
32,27.24,41.0,45.89,40.88,1,
33,36.24,59.9,34.23,45.61,1,
34,211.55,374.38,24.77,-896.4,-3,1.0
35,343.44,637.05,63.05,-1921.54,1,
36,60.6,109.4,49.47,-199.1,1,
37,54.02,86.81,31.79,40.75,-4,
38,485.8,828.88,43.52,-2312.08,1,1.0
39,18.7,33.11,42.48,-99.53,1,
40,108.53,223.87,39.94,-785.02,1,
41,10.61,21.52,60.15,-64.56,1,
42,93.77,145.2,33.82,-155.26,-4,
43,268.61,500.92,44.48,-1562.09,1,1.0
44,39.88,67.78,38.76,-220.85,1,
45,98.3,177.02,28.36,-519.23,1,
46,6.73,12.06,51.0,-25.88,1,
47,56.63,91.31,73.02,-21.17,1,
48,78.61,144.98,37.9,-411.95,1,
49,46.02,75.09,53.3,-168.78,0,
50,12.29,19.0,58.22,-18.75,1,
