Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,7.57,11.0,33.21,12.2,1,
1,55.39,86.32,25.01,-114.95,-4,
2,33.58,63.2,42.39,-144.8,1,
3,190.48,334.9,54.64,-1046.89,1,
4,226.95,360.88,21.88,-675.4,-4,0.0
5,52.93,90.04,27.61,-86.61,1,
6,27.31,42.81,42.94,-85.43,0,
7,25.06,44.26,65.44,-115.08,1,
8,19.78,33.67,36.78,-70.85,-4,
9,312.16,495.71,28.97,-1331.26,1,1.0
10,128.73,231.55,39.62,-605.18,-3,
11,14.36,20.74,34.86,-42.77,1,
12,27.98,53.51,53.52,-139.26,1,
13,20.3,34.6,47.51,10.56,1,
14,154.17,260.21,64.43,-732.05,0,
15,109.8,198.35,43.42,-424.62,0,
16,31.84,55.83,34.44,-134.02,0,
17,67.34,124.84,34.67,-162.07,0,
18,51.56,75.54,23.79,-78.05,1,
19,96.27,178.75,29.69,-473.77,1,
20,67.72,127.93,34.17,-355.05,1,
21,15.97,25.26,72.91,-43.64,1,
22,119.6,202.27,52.66,-431.54,0,
23,70.35,115.46,42.17,-133.04,1,
24,86.16,150.34,42.82,-355.48,0,
25,30.53,53.32,27.05,-100.84,1,
26,14.95,25.59,48.16,-70.13,1,
27,160.39,295.65,33.62,-958.78,0,
28,6.95,11.2,40.15,-27.45,1,
29,23.68,40.58,37.2,-65.71,0,
30,14.61,23.09,30.95,-53.05,-1,
31,112.82,191.98,27.49,-512.74,0,
32,22.04,32.36,57.91,38.31,1,
33,23.47,42.7,34.26,51.22,1,
34,216.62,345.91,32.0,-636.51,-3,0.0
35,298.87,545.24,79.89,-1649.46,1,2.0
36,42.14,85.93,45.65,-113.05,1,
37,40.76,66.55,29.5,64.27,-5,
38,415.59,703.35,45.66,-2008.95,1,1.0
39,17.46,29.78,43.11,-83.24,1,
40,95.56,197.16,38.73,-647.11,1,
41,9.52,19.2,57.7,-51.56,1,
42,84.05,128.39,40.74,-72.18,-4,
43,242.23,439.35,74.68,-1129.06,1,1.0
44,34.27,57.0,34.94,-175.69,1,
45,92.94,160.76,27.08,-437.19,1,
46,6.99,11.99,55.39,-22.69,1,
47,41.58,68.84,70.91,-87.18,1,
48,71.82,133.78,41.84,-358.64,0,
49,41.3,72.63,42.6,-169.6,0,
50,13.49,21.04,60.7,-8.64,1,
