Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,3.41,5.53,65.97,-6.22,0,
1,7.18,13.03,34.77,-20.71,1,1.0
2,2.64,4.15,53.84,-8.64,1,
3,8.1,14.87,68.98,-44.98,1,
4,5.93,8.82,46.67,-14.07,0,
5,0.0,0.0,,0.0,12,
6,8.37,12.77,51.54,-25.02,-1,
7,5.8,8.83,56.9,-17.6,0,
8,6.71,11.15,96.82,-13.24,1,
9,3.79,6.08,44.06,-1.41,-1,
10,16.81,23.82,37.89,-48.7,0,1.0
11,41.48,59.8,37.91,-124.66,0,1.0
12,5.67,9.43,37.2,-23.81,1,1.0
13,8.54,12.62,55.28,-15.29,-10,
14,4.97,8.49,30.1,-16.0,0,
15,8.27,12.0,55.38,-22.74,1,
16,7.42,12.68,49.99,-6.66,1,1.0
17,3.61,6.1,40.25,-2.12,1,
18,18.86,27.92,30.86,-58.0,0,1.0
19,6.07,9.46,35.22,-16.51,1,
20,7.55,12.46,39.5,-25.44,1,
