Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,7.31,10.85,53.76,3.49,1,
1,54.68,87.78,40.49,-54.98,-4,
2,43.09,71.52,122.84,-42.02,1,
3,170.86,315.4,80.53,-79.43,1,
4,255.77,408.05,25.46,-583.38,1,0.0
5,50.65,91.66,62.73,22.11,1,
6,32.85,52.36,78.29,-50.31,1,
7,23.33,45.36,111.06,-12.28,1,
8,18.37,31.55,53.55,-15.33,2,
9,202.67,316.95,31.66,-334.1,1,1.0
10,99.38,160.38,73.81,-97.96,1,
11,9.53,15.36,40.97,-0.03,1,
12,29.26,51.04,155.76,-25.35,1,
13,23.99,41.15,73.51,17.96,1,
14,121.74,201.68,130.11,-219.52,1,2.0
15,105.59,174.56,105.48,-98.13,0,
16,36.43,58.89,87.89,-31.48,1,
17,78.45,137.8,119.69,-46.22,0,
18,52.8,78.27,29.33,-13.52,1,
19,75.13,132.69,54.75,-88.97,1,
20,62.12,103.9,100.88,-63.09,1,
21,17.4,25.46,113.79,-13.56,1,
22,110.17,169.35,100.8,-147.2,1,
23,52.19,90.17,49.32,30.59,1,
24,95.25,153.17,147.82,-83.99,1,
25,35.79,60.97,41.65,-22.04,1,
26,11.06,19.22,74.81,-16.98,1,
27,131.57,202.61,73.01,-123.95,1,
28,8.45,13.31,48.65,-11.21,1,
29,22.95,37.53,76.18,-26.55,1,
30,12.73,20.89,36.28,-23.77,1,
31,105.62,171.29,62.09,-203.69,1,
32,23.67,33.61,113.85,14.57,1,
33,25.61,41.63,58.48,21.94,1,
34,153.21,268.19,82.38,-344.8,1,0.0
35,215.23,322.13,181.18,-167.07,1,1.0
36,66.03,115.22,128.38,-39.28,1,
37,49.34,82.35,62.03,27.01,-5,
38,224.38,339.29,48.68,-296.73,1,1.0
39,12.23,19.85,45.7,-12.09,1,
40,79.81,144.77,86.73,-34.69,1,
41,11.35,20.9,90.9,-7.13,1,
42,89.67,142.94,75.16,32.38,-4,
43,258.45,462.38,130.07,-288.22,1,1.0
44,25.0,42.04,41.46,-2.06,1,
45,81.55,130.32,62.97,-73.79,1,
46,8.89,13.94,72.5,-5.43,1,
47,55.14,88.56,112.15,-45.28,1,
48,56.02,91.66,99.26,-80.9,1,
49,35.38,59.5,84.18,-42.86,0,
50,14.01,20.96,61.09,4.06,1,
