Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,3.79,5.85,76.59,-4.36,0,
1,7.7,12.52,46.9,-28.05,1,0.0
2,3.06,4.78,47.29,-12.45,1,
3,11.7,21.06,78.93,-73.68,-1,
4,5.46,8.55,37.45,-3.5,1,
5,0.0,0.0,,0.0,20,
6,9.67,13.44,83.86,-25.8,-1,
7,6.15,9.19,73.59,-19.46,-2,
8,7.41,10.78,137.53,-18.15,1,
9,4.95,7.48,45.95,2.83,-1,
10,18.24,26.03,69.94,-61.58,0,1.0
11,50.1,73.05,46.2,-178.81,0,1.0
12,6.05,8.59,84.61,-16.74,1,1.0
13,13.83,18.46,168.01,1.45,-1,-1.0
14,4.47,7.88,36.76,-13.03,0,0.0
15,8.02,11.79,87.83,-22.28,1,
16,9.66,16.1,81.18,13.7,1,1.0
17,5.07,7.47,44.3,0.43,1,
18,21.31,31.02,74.93,-71.27,0,1.0
19,6.63,10.27,46.85,-12.76,1,
20,6.98,11.02,44.43,-19.91,1,
