Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,3.55,5.72,78.11,-4.73,1,
1,6.32,10.6,37.92,-17.83,1,1.0
2,2.5,4.13,50.05,-7.36,1,
3,7.16,13.6,69.26,-37.81,1,
4,5.51,7.99,50.48,-6.45,1,
5,0.0,0.0,,0.0,21,
6,7.0,9.68,48.43,-18.12,1,1.0
7,5.08,7.34,54.85,-11.32,0,
8,6.87,10.59,93.02,-12.39,1,
9,3.99,6.46,51.63,1.23,-1,
10,17.93,26.52,37.71,-27.35,1,1.0
11,35.15,51.29,39.83,-106.72,1,1.0
12,5.74,8.56,43.03,-10.56,1,1.0
13,18.08,27.27,73.76,36.84,-1,-4.0
14,4.28,8.0,31.76,-12.71,1,1.0
15,7.21,10.99,58.13,-16.77,1,
16,7.85,13.33,57.24,2.95,1,1.0
17,4.48,7.26,46.14,1.73,1,
18,13.17,19.45,33.85,-37.8,1,1.0
19,6.8,9.74,38.9,-4.37,1,
20,7.14,11.21,39.06,-12.81,1,
