Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,7.01,10.36,46.07,-3.09,1,
1,66.87,107.44,52.12,-166.93,-4,
2,41.79,71.15,122.16,-138.2,1,
3,222.53,362.87,80.42,-883.98,1,
4,315.02,517.04,44.52,-1130.14,-3,1.0
5,60.76,106.49,55.25,-134.91,1,
6,32.8,53.51,75.72,-105.61,1,
7,26.31,45.01,83.67,-90.4,1,
8,20.93,37.19,40.93,-79.76,1,
9,366.9,538.04,47.43,-1291.78,1,1.0
10,133.56,223.98,81.86,-514.86,1,
11,14.75,21.74,34.63,-37.58,1,
12,32.05,58.97,181.28,-139.21,1,
13,24.36,40.48,83.8,-26.42,1,
14,184.15,297.45,212.69,-725.24,1,
15,125.46,220.91,128.67,-448.85,0,
16,37.18,66.47,78.02,-141.15,1,
17,79.63,146.0,105.27,-243.12,1,
18,65.77,95.13,34.43,-122.75,1,
19,110.4,182.74,61.54,-415.77,1,
20,74.39,133.56,103.73,-313.2,1,
21,17.43,26.11,99.95,-44.86,1,
22,132.43,212.92,131.67,-407.4,1,
23,85.88,129.43,107.62,-177.51,1,
24,107.14,176.77,160.45,-357.04,1,
25,36.08,64.9,30.19,-134.25,1,
26,14.63,24.85,60.18,-55.3,1,
27,172.28,293.71,70.72,-761.58,1,
28,8.13,13.08,55.03,-26.85,1,
29,26.34,45.28,56.06,-93.56,1,
30,16.19,25.11,45.22,-52.41,-1,
31,139.27,224.48,83.3,-558.06,1,
32,22.73,31.49,126.56,-17.37,1,
33,25.39,40.67,82.06,-12.09,1,
34,252.85,396.19,104.66,-860.22,-3,1.0
35,298.67,496.91,214.54,-1268.86,1,2.0
36,64.0,111.7,98.04,-162.33,1,
37,49.63,82.19,62.29,-19.53,-5,
38,422.71,648.7,74.5,-1579.11,1,1.0
39,17.29,28.6,45.24,-66.32,1,
40,99.85,182.62,74.8,-454.54,1,
41,11.02,21.28,87.97,-47.07,1,
42,95.72,156.88,82.96,-152.55,-4,
43,314.87,542.72,225.25,-1281.92,1,1.0
44,34.58,57.03,47.31,-126.31,1,
45,98.56,170.03,44.7,-394.52,1,
46,8.42,13.75,48.85,-23.49,1,
47,57.82,90.01,169.8,-146.97,1,
48,81.54,135.4,113.16,-324.33,1,
49,41.92,73.25,61.32,-158.91,1,
50,13.54,20.73,56.64,-18.24,1,
