Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,3.3,5.8,61.93,-2.16,1,
1,6.17,9.9,31.91,-10.38,1,1.0
2,2.45,4.11,44.7,-7.97,1,
3,6.69,13.17,58.33,-40.23,1,
4,5.06,7.78,33.97,-4.06,1,
5,0.0,0.0,,0.0,12,
6,6.55,8.91,45.19,-11.13,-1,1.0
7,4.72,6.61,52.8,-8.81,0,
8,7.33,10.84,90.01,-7.6,1,
9,4.31,6.56,37.55,1.47,-1,
10,16.11,26.57,37.29,-7.45,1,1.0
11,33.26,45.92,29.21,-74.73,1,1.0
12,5.04,7.71,34.58,-7.19,1,1.0
13,8.66,12.72,76.38,-3.69,-5,-3.0
14,4.56,7.79,20.83,-5.94,1,0.0
15,7.32,11.5,50.01,-24.59,-6,
16,8.45,15.16,53.21,8.06,1,1.0
17,4.62,7.63,42.27,10.08,1,
18,12.91,17.56,32.33,-16.06,1,1.0
19,6.31,9.23,32.53,-1.53,1,
20,6.46,10.63,31.15,-8.28,1,
