Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,6.87,10.77,40.48,1.99,1,
1,57.18,89.91,62.68,-48.14,1,
2,44.67,71.57,159.68,-5.48,1,
3,165.58,319.0,80.42,6.92,1,
4,291.68,418.05,52.12,-324.01,1,1.0
5,53.22,93.28,68.55,24.98,1,
6,33.69,51.46,96.23,-26.76,1,
7,23.3,46.28,79.21,0.94,1,
8,18.82,31.99,41.41,-7.2,1,
9,222.74,322.08,35.92,-121.36,1,1.0
10,98.63,165.91,82.99,-21.59,1,
11,9.45,15.32,28.07,3.41,1,
12,33.45,51.5,241.42,-12.02,1,
13,25.07,40.76,103.05,12.08,1,
14,142.34,207.4,272.24,-105.88,1,1.0
15,114.52,179.42,173.77,-38.82,0,
16,38.98,59.73,111.15,-19.61,1,
17,84.63,138.34,160.92,-24.41,0,
18,56.05,80.06,34.22,-4.66,1,
19,82.44,135.0,70.03,-36.09,1,
20,63.76,105.09,122.74,-19.16,1,
21,16.0,24.6,107.2,-5.57,1,
22,113.45,162.9,168.44,-71.35,1,1.0
23,58.08,98.32,53.35,35.18,1,
24,99.28,156.74,227.48,-49.74,1,
25,35.85,62.1,34.8,-9.62,1,
26,12.81,19.51,62.29,-4.8,1,
27,133.81,208.17,56.93,-30.3,1,
28,8.95,13.38,59.18,-4.35,1,
29,23.57,38.55,80.91,-13.93,1,
30,14.0,20.75,55.29,-13.06,1,
31,115.37,175.39,90.63,-111.77,1,
32,23.1,31.89,155.6,3.15,1,
33,25.37,41.71,102.3,10.6,1,
34,169.84,273.07,130.78,-200.87,1,0.0
35,233.0,336.68,215.15,-16.4,1,1.0
36,71.13,115.19,142.85,-3.42,1,
37,50.43,79.92,83.15,10.11,-5,
38,249.66,354.69,66.14,-98.83,1,1.0
39,13.05,20.29,42.65,-1.98,1,
40,79.82,148.61,65.04,18.7,1,
41,12.05,21.03,107.82,0.21,1,
42,94.68,147.32,109.08,26.62,-4,
43,276.53,478.42,290.08,-116.13,1,1.0
44,24.44,42.67,39.99,11.08,1,
45,83.66,131.59,50.24,-24.25,1,
46,8.88,13.65,73.1,-0.02,1,
47,57.61,87.03,204.68,-30.7,1,
48,60.14,92.91,136.37,-35.74,1,
49,38.52,60.37,93.1,-15.43,1,
50,13.83,21.21,57.5,4.26,1,
