Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,3.51,5.67,66.32,-7.0,0,
1,7.53,13.16,37.21,-23.34,1,1.0
2,2.78,4.51,51.64,-10.46,1,
3,8.55,16.01,67.88,-53.81,1,
4,5.14,8.28,37.12,-12.98,1,
5,0.0,0.0,,0.0,13,
6,8.4,11.91,58.88,-22.32,-1,
7,5.38,7.97,61.56,-16.41,0,
8,6.71,10.76,93.84,-16.04,1,
9,4.58,6.47,46.49,-3.65,-1,
10,18.25,26.29,36.6,-43.5,0,1.0
11,39.77,61.62,35.32,-144.46,0,1.0
12,5.74,8.53,42.29,-20.3,1,1.0
13,10.3,15.24,75.96,1.28,-10,-3.0
14,5.06,9.07,22.64,-17.43,0,
15,7.72,11.91,58.49,-25.41,1,
16,8.19,14.89,57.65,-8.51,1,1.0
17,4.94,7.25,54.58,1.73,1,
18,17.01,24.88,39.15,-54.35,0,-1.0
19,6.3,9.12,37.17,-12.19,1,
20,6.98,11.85,33.14,-22.15,1,
