Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,7.16,10.24,30.93,0.67,1,
1,61.02,96.08,26.1,-153.06,-4,
2,34.24,64.97,32.6,-127.6,1,
3,185.95,350.3,52.87,-1215.72,1,
4,274.16,455.76,21.98,-906.3,1,1.0
5,53.3,92.16,27.01,-114.78,1,
6,28.08,45.88,37.99,-81.64,1,
7,24.08,43.4,61.85,-121.58,-1,
8,19.51,34.79,34.04,-79.58,1,
9,339.55,525.89,31.58,-1428.18,1,1.0
10,135.36,243.69,39.42,-664.61,-3,
11,15.18,21.84,37.88,-51.66,1,
12,26.39,53.01,39.17,-128.77,1,
13,22.19,38.2,45.11,-13.48,1,
14,158.52,267.93,42.83,-687.94,1,
15,112.88,199.48,32.79,-409.97,0,
16,33.09,58.34,29.92,-121.73,1,
17,70.01,128.1,22.29,-147.79,0,
18,56.63,85.85,24.35,-108.76,1,
19,99.35,172.42,31.29,-436.29,1,
20,68.69,129.32,30.56,-355.48,1,
21,13.64,23.5,30.29,-34.77,1,
22,119.66,194.27,41.37,-384.7,1,
23,72.84,123.21,40.48,-173.43,1,
24,91.62,151.76,30.14,-320.16,1,
25,34.37,58.39,31.13,-111.65,1,
26,13.93,24.25,39.79,-65.51,1,
27,165.62,310.58,36.04,-1031.28,1,
28,7.27,12.0,36.42,-23.45,1,
29,24.11,40.77,39.36,-70.08,0,
30,14.48,22.07,31.98,-43.9,-1,
31,121.1,204.3,25.51,-502.75,1,
32,19.99,30.79,44.13,13.63,1,
33,25.81,42.17,30.39,20.4,1,
34,217.87,354.88,21.53,-741.97,-3,1.0
35,312.6,569.2,71.9,-1753.76,1,2.0
36,46.79,97.04,27.92,-117.45,1,
37,42.35,71.16,27.08,4.98,-5,
38,434.0,724.68,43.02,-2080.0,1,1.0
39,17.9,30.92,43.45,-89.88,1,
40,101.32,210.59,36.98,-723.01,1,
41,9.92,19.56,57.15,-49.17,1,
42,87.16,139.96,33.44,-109.77,-4,
43,278.78,486.26,52.01,-1198.09,1,1.0
44,35.36,59.44,38.48,-203.13,1,
45,93.07,161.9,29.1,-440.87,1,
46,7.26,12.36,51.73,-21.26,1,
47,45.97,73.8,54.93,-70.23,1,
48,73.89,134.35,38.7,-364.71,1,
49,38.37,68.92,38.21,-157.21,0,
50,13.04,20.11,54.41,-13.99,1,
