Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,9.03,13.2,40.52,23.99,1,
1,57.73,89.73,29.78,-150.63,-4,
2,35.71,67.59,56.72,-158.04,1,
3,198.61,359.39,58.6,-1134.92,1,
4,259.22,398.07,26.61,-764.35,-4,0.0
5,59.4,97.75,33.57,-102.9,1,
6,26.87,43.59,40.47,-81.76,0,
7,25.17,44.54,57.24,-112.42,-1,
8,20.46,34.46,34.66,-70.24,-4,
9,336.72,516.35,33.36,-1441.25,-3,1.0
10,139.46,246.71,45.44,-653.28,-3,
11,15.24,21.38,36.87,-41.14,1,
12,29.97,56.19,77.5,-143.48,1,
13,22.96,37.29,52.16,-2.31,1,
14,168.95,278.72,98.07,-776.54,1,
15,120.96,211.62,65.31,-438.82,0,
16,35.86,59.72,47.55,-133.52,-5,
17,74.71,128.86,54.27,-114.48,0,
18,53.79,81.05,24.55,-81.32,1,
19,106.6,193.24,35.12,-488.13,1,
20,74.3,135.81,45.06,-367.8,1,
21,17.05,27.95,64.67,-45.75,1,
22,138.58,220.11,76.37,-418.18,0,
23,76.38,125.17,42.43,-156.27,1,
24,95.92,164.39,69.7,-369.4,0,
25,31.59,53.57,27.07,-113.79,1,
26,16.97,29.27,47.75,-76.72,-1,
27,173.76,311.56,39.28,-1025.5,1,
28,7.1,11.87,37.99,-24.67,1,
29,26.08,43.48,37.85,-72.86,0,
30,15.69,24.93,30.82,-52.31,-1,
31,123.75,200.97,40.97,-501.75,-4,
32,22.77,38.12,69.2,65.06,1,
33,26.37,48.74,44.21,80.33,1,
34,235.64,371.58,47.84,-652.5,-3,0.0
35,326.0,586.48,101.08,-1794.53,1,2.0
36,43.43,92.13,53.45,-154.95,1,
37,48.4,78.16,38.31,54.1,-5,
38,455.4,761.22,50.87,-2101.32,0,1.0
39,18.44,31.5,42.71,-87.16,1,
40,101.26,204.73,45.15,-685.89,1,
41,9.77,20.18,49.16,-55.78,1,
42,87.74,132.99,49.94,-87.08,-4,
43,257.93,460.54,110.25,-1348.9,1,1.0
44,37.43,61.33,37.11,-185.88,1,
45,100.27,169.61,29.09,-473.15,1,
46,7.13,12.46,45.79,-17.83,1,
47,51.61,84.67,98.94,-73.76,1,
48,80.28,143.44,55.83,-397.82,1,
49,45.89,78.84,50.41,-193.8,0,
50,13.91,22.0,56.25,-10.57,1,
