Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,3.2,5.34,55.98,-3.22,0,
1,7.3,12.5,35.73,-18.72,1,1.0
2,2.58,4.0,51.53,-9.67,1,
3,8.92,16.28,67.31,-57.37,1,
4,5.29,7.9,38.07,-3.31,0,
5,0.0,0.0,,0.0,13,
6,8.54,12.05,53.43,-12.49,-1,1.0
7,5.47,8.36,55.95,-15.48,0,
8,6.77,10.83,93.9,-12.51,1,
9,3.96,6.78,50.36,5.83,-1,
10,14.82,21.95,38.44,-10.33,0,1.0
11,39.06,55.7,34.36,-81.12,0,1.0
12,5.55,8.11,38.3,-19.35,1,1.0
13,7.95,10.5,88.85,-8.13,-1,0.0
14,4.47,7.36,23.4,-7.55,0,
15,7.69,11.8,50.29,-22.73,-6,
16,7.98,14.36,54.54,-0.61,1,1.0
17,4.9,8.19,45.26,13.16,1,
18,18.01,26.04,30.6,-37.75,0,1.0
19,5.47,7.79,34.0,-9.99,1,
20,7.14,11.48,34.27,-22.0,0,
