Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,7.01,9.72,33.81,6.6,1,
1,50.04,79.45,22.17,-120.11,-4,
2,30.02,56.91,36.99,-85.5,1,
3,169.51,319.57,55.12,-1047.78,1,
4,238.29,380.61,20.88,-655.81,1,0.0
5,44.65,82.07,22.48,-90.06,1,
6,25.3,40.49,39.1,-58.06,1,
7,24.03,43.83,62.21,-101.76,1,
8,17.77,31.48,32.38,-67.76,1,
9,282.93,466.83,27.77,-1193.36,1,1.0
10,119.51,218.46,36.01,-561.7,1,
11,13.38,19.97,33.04,-40.72,1,
12,22.02,44.77,46.04,-97.08,1,
13,22.04,35.19,48.32,10.83,1,
14,133.39,233.08,47.24,-595.83,1,
15,95.44,174.31,36.83,-324.98,0,
16,26.93,49.7,32.8,-98.86,0,
17,54.43,106.09,28.52,-49.46,0,
18,47.27,71.98,21.58,-99.39,1,
19,86.54,150.89,28.05,-369.0,1,
20,59.46,115.97,25.77,-288.02,1,
21,13.23,20.8,53.77,-16.42,1,
22,98.43,161.88,44.77,-299.75,0,
23,64.97,114.12,35.79,-135.01,1,
24,83.77,133.98,35.16,-247.66,0,
25,27.95,51.12,27.01,-72.85,1,
26,12.44,21.47,43.93,-41.91,1,
27,146.02,275.55,34.0,-870.9,1,
28,7.3,11.59,40.18,-17.17,1,
29,22.17,36.68,34.86,-46.02,0,
30,12.17,18.74,28.64,-34.64,-1,
31,99.95,182.77,24.03,-441.77,1,
32,20.11,31.96,48.4,27.67,1,
33,27.24,47.21,34.36,38.27,1,
34,181.86,320.95,20.99,-649.03,-3,0.0
35,271.82,493.88,73.61,-1463.81,1,2.0
36,46.56,89.85,43.37,-34.89,1,
37,40.1,67.51,27.86,47.74,-5,
38,377.41,636.02,43.26,-1752.01,1,1.0
39,16.16,27.95,41.59,-74.75,1,
40,88.13,187.31,37.72,-593.24,1,
41,8.46,17.03,52.1,-36.85,1,
42,75.87,120.55,35.08,-91.08,-4,
43,218.85,418.12,50.82,-907.77,1,1.0
44,31.15,53.43,34.64,-172.78,1,
45,83.38,144.47,25.48,-374.25,1,
46,7.34,11.77,51.2,-11.85,1,
47,41.38,67.97,66.16,0.03,1,
48,64.94,119.17,39.43,-327.74,1,
49,34.26,60.6,43.21,-126.55,0,
50,13.77,20.78,60.36,-11.39,1,
