Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,3.42,5.43,58.17,-7.14,0,
1,6.91,11.96,38.7,-19.29,1,0.0
2,2.62,4.33,46.42,-8.47,1,
3,7.47,13.92,66.65,-41.37,1,
4,5.7,8.96,32.05,-16.24,1,
5,0.0,0.0,,0.0,18,
6,8.4,12.42,47.59,-25.58,-1,
7,5.42,8.22,54.44,-17.34,0,
8,6.43,10.49,94.86,-12.57,1,
9,4.16,6.09,40.27,-3.31,-1,
10,16.67,24.3,43.14,-52.22,0,1.0
11,36.28,55.78,31.3,-136.47,0,1.0
12,5.32,8.76,37.9,-22.18,1,1.0
13,11.07,17.95,85.42,6.71,-5,-3.0
14,5.06,8.51,26.85,-17.32,0,
15,7.54,12.01,56.52,-22.8,1,
16,7.7,12.58,59.73,-2.32,1,1.0
17,4.05,6.15,43.12,-2.37,-1,
18,15.72,23.63,26.8,-55.79,0,-1.0
19,6.2,9.64,34.48,-15.27,1,
20,7.37,12.06,34.96,-22.45,1,
