Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,3.35,5.49,68.72,-4.09,0,
1,6.81,11.61,49.6,-19.9,1,0.0
2,2.79,4.29,45.99,-9.02,1,
3,8.76,15.74,68.5,-54.02,1,
4,5.02,7.64,38.42,-5.91,0,
5,0.0,0.0,,0.0,20,
6,8.06,12.41,50.17,-17.61,-2,
7,5.52,8.69,59.45,-17.07,-2,
8,7.02,10.92,92.51,-11.24,1,
9,5.03,7.7,46.83,1.02,-1,
10,16.14,23.66,32.5,-31.09,0,1.0
11,37.0,52.58,32.38,-82.4,0,1.0
12,5.1,8.51,31.66,-16.5,1,1.0
13,13.39,19.12,79.12,16.54,-2,-4.0
14,4.39,6.99,23.59,-5.3,0,0.0
15,8.56,12.47,64.51,-24.39,1,
16,8.12,13.28,56.51,9.19,1,1.0
17,4.85,7.75,45.77,-0.56,1,
18,15.34,21.79,38.51,-35.45,0,1.0
19,6.7,11.16,38.91,-9.02,-8,
20,6.97,10.85,36.44,-17.9,0,
