Rank,Model,WIS,Rel. WIS,Sharpness,Calibration,N weeks,Horizons
1,FluSight-trained_med,82.97,0.622,32.25,50.71,18,{1: 18}
2,FluSight-trained_mean,85.97,0.67,36.0,49.98,18,{1: 18}
3,FluSight-lop_norm,91.9,0.695,30.75,61.15,24,{1: 24}
4,FluSight-ensemble,96.08,0.727,23.45,72.63,24,{1: 24}
5,CMU-TimeSeries,97.09,0.728,34.94,62.15,24,{1: 24}
6,CEPH-Rtrend_fluH,99.36,0.751,19.88,79.48,24,{1: 24}
7,UGuelph-CompositeCurve,95.61,0.751,35.71,59.9,12,{1: 12}
8,CU-ensemble,104.95,0.759,22.35,82.6,23,{1: 23}
9,PSI-PROF,101.77,0.764,33.22,68.55,25,{1: 25}
10,PSI-PROF_beta,110.56,0.834,36.66,73.9,23,{1: 23}
11,UNC_IDD-InfluPaint,115.04,0.84,10.69,104.35,19,{1: 19}
12,UMass-AR2,112.55,0.859,22.47,90.08,23,{1: 23}
13,ISU_NiemiLab-GPE,120.73,0.874,22.78,97.95,20,{1: 20}
14,Gatech-ensemble_point,117.45,0.884,19.19,98.26,24,{1: 24}
15,UVAFluX-Ensemble,119.78,0.918,45.16,74.63,25,{1: 25}
16,OHT_JHU-nbxd,130.46,0.939,27.47,102.98,23,{1: 23}
17,LosAlamos_NAU-CModel_Flu,132.14,0.959,40.88,91.26,21,{1: 21}
18,MIGHTE-Nsemble,141.61,0.991,16.92,124.69,22,{1: 22}
19,FluSight-baseline,136.19,1.0,11.07,125.11,24,{1: 24}
20,Gatech-ensemble_prob,141.99,1.014,16.14,125.85,24,{1: 24}
21,MIGHTE-Joint,142.73,1.02,18.31,124.43,20,{1: 20}
22,JHUAPL-DMD,147.26,1.055,31.66,115.6,24,{1: 24}
23,UM-DeepOutbreak,149.1,1.107,45.1,103.99,24,{1: 24}
24,UI_CompEpi-EpiGen,148.43,1.113,20.27,128.16,19,{1: 19}
25,UVAFluX-CESGCN,159.61,1.133,9.46,150.15,18,{1: 18}
26,UGA_CEID-Walk,156.26,1.164,33.3,122.97,22,{1: 22}
27,CMU-climate_baseline,167.76,1.201,37.41,130.35,23,{1: 23}
28,Stevens-ILIForecast,226.16,1.571,7.24,218.92,20,{1: 20}
