dataset,model,fold_season,ratio,c_u,c_o,scope,total_cost,under_cost,over_cost,service_level,n_weeks,n_regions
Sweden-CV,MEx-EpiGNN-SE,2022/23,3:1,3,1,fold,14758.460489395493,8921.570723747693,5836.889765647801,0.6796536796536796,33,21
Sweden-CV,MEx-EpiGNN-SE,2022/23,5:1,5,1,fold,18373.498302924578,10321.396494182007,8052.101808742569,0.7575757575757576,33,21
Sweden-CV,MEx-EpiGNN-SE,2022/23,10:1,10,1,fold,26302.78070014204,14027.646058560775,12275.134641581266,0.8528138528138528,33,21
Sweden-CV,MEx-EpiGNN-SE,2023/24,2:1,2,1,fold,7908.836704772404,1593.8400521390613,6314.996652633344,0.7417027417027418,33,21
Sweden-CV,MEx-EpiGNN-SE,2023/24,3:1,3,1,fold,9299.3055333435,1495.1242929200325,7804.181240423468,0.8210678210678211,33,21
Sweden-CV,MEx-EpiGNN-SE,2023/24,5:1,5,1,fold,10962.004875366476,1499.6066473531623,9462.398228013311,0.8715728715728716,33,21
Sweden-CV,MEx-EpiGNN-SE,2023/24,10:1,10,1,fold,13525.880360775169,1444.7229269107092,12081.157433864459,0.935064935064935,33,21
Sweden-CV,MEx-EpiGNN-SE,2024/25,2:1,2,1,fold,8908.10993649607,5856.319312104845,3051.7906243912257,0.670995670995671,33,21
Sweden-CV,MEx-EpiGNN-SE,2024/25,3:1,3,1,fold,11412.6684996646,7511.357564855201,3901.310934809399,0.7359307359307359,33,21
Sweden-CV,MEx-EpiGNN-SE,2024/25,5:1,5,1,fold,13858.977980226247,8648.362456967894,5210.615523258352,0.7878787878787878,33,21
Sweden-CV,MEx-EpiGNN-SE,2024/25,10:1,10,1,fold,17462.927373071856,10090.053219992686,7372.874153079175,0.8643578643578643,33,21
Sweden-CV,MEx-EpiGNN-SE,POOLED,2:1,2,1,pooled,52053.26206949404,27069.931184183315,24983.330885310723,0.6731601731601732,198,21
Sweden-CV,MEx-EpiGNN-SE,POOLED,3:1,3,1,pooled,64912.893492112664,33980.82669666629,30932.06679544637,0.7474747474747475,198,21
Sweden-CV,MEx-EpiGNN-SE,POOLED,5:1,5,1,pooled,82219.96055544101,42441.02155918436,39778.93899625665,0.8138528138528138,198,21
Sweden-CV,MEx-EpiGNN-SE,POOLED,10:1,10,1,pooled,116104.0219193926,61768.841578248815,54335.1803411438,0.8831168831168831,198,21
Sweden-CV,Persistence,2018/19,2:1,2,1,fold,6222.728434076496,3318.337960181806,2904.3904738946894,0.7056277056277056,33,21
Sweden-CV,Persistence,2018/19,3:1,3,1,fold,7779.664945264911,3339.34756194916,4440.317383315751,0.7748917748917749,33,21
Sweden-CV,Persistence,2018/19,5:1,5,1,fold,9675.939971791535,3567.424039537822,6108.515932253713,0.8441558441558441,33,21
Sweden-CV,Persistence,2018/19,10:1,10,1,fold,12567.214776707317,3935.261609231277,8631.95316747604,0.9235209235209235,33,21
Sweden-CV,Persistence,2019/20,2:1,2,1,fold,4119.785224580816,2045.3933041156383,2074.3919204651784,0.7215007215007215,33,21
Sweden-CV,Persistence,2019/20,3:1,3,1,fold,5101.218038951145,2320.6914275164836,2780.526611434661,0.7965367965367965,33,21
Sweden-CV,Persistence,2019/20,5:1,5,1,fold,6431.007937361095,2032.1247641242455,4398.883173236851,0.8744588744588745,33,21
Sweden-CV,Persistence,2019/20,10:1,10,1,fold,8459.766612654968,1622.5815346895836,6837.185077965386,0.9422799422799423,33,21
Sweden-CV,Persistence,2021/22,2:1,2,1,fold,10818.26489968504,6984.107727502751,3834.1571721822884,0.6349206349206349,33,21
Sweden-CV,Persistence,2021/22,3:1,3,1,fold,13671.905412690227,8956.733466218808,4715.171946471419,0.6926406926406926,33,21
Sweden-CV,Persistence,2021/22,5:1,5,1,fold,18396.3675194198,12035.230770516951,6361.136748902848,0.7878787878787878,33,21
Sweden-CV,Persistence,2021/22,10:1,10,1,fold,28307.545714917003,20004.662614692068,8302.883100224932,0.8658008658008658,33,21
Sweden-CV,Persistence,2022/23,2:1,2,1,fold,13306.352566417288,5933.390273030493,7372.962293386796,0.7041847041847041,33,21
