Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,3.69,6.03,80.97,-5.14,0,
1,7.17,12.27,42.86,-21.84,1,0.0
2,2.71,4.28,46.45,-7.79,1,
3,8.85,15.44,83.53,-49.65,1,
4,5.56,8.99,47.16,-7.0,1,
5,0.0,0.0,,0.0,20,
6,7.69,11.26,53.51,-21.99,1,
7,5.63,8.38,54.68,-15.45,0,
8,7.78,11.82,110.94,-13.31,1,
9,5.15,7.61,54.52,-0.7,-1,
10,19.45,27.15,39.87,-51.67,1,1.0
11,41.05,60.72,37.76,-134.7,0,1.0
12,5.81,9.09,36.42,-12.59,1,1.0
13,8.37,11.72,52.06,-2.73,-1,0.0
14,4.44,7.89,27.06,-11.71,0,0.0
15,8.88,12.25,74.24,-10.28,1,
16,8.72,14.58,58.2,1.46,1,1.0
17,5.06,7.76,54.99,-2.93,1,
18,17.34,25.53,45.03,-55.76,0,1.0
19,6.46,9.9,36.29,-4.96,1,
20,7.42,11.61,41.4,-16.68,1,
