Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,3.53,5.56,64.69,-4.74,0,
1,7.43,11.69,47.18,-18.09,1,1.0
2,2.76,4.36,46.33,-10.26,1,
3,8.43,15.73,68.02,-53.53,1,
4,5.39,7.57,35.99,-5.81,1,
5,0.0,0.0,,0.0,21,
6,8.4,11.02,74.27,-15.68,-1,1.0
7,5.15,7.62,60.4,-13.22,0,
8,6.86,10.39,113.3,-12.46,1,
9,3.84,6.06,38.1,1.78,-1,
10,18.1,25.4,68.12,-23.06,0,1.0
11,38.27,57.23,38.59,-122.04,0,1.0
12,5.7,7.89,60.45,-12.11,1,1.0
13,20.71,28.6,173.33,61.3,-2,-3.0
14,4.42,7.83,31.27,-12.66,0,
15,7.5,11.42,66.51,-19.53,-6,
16,8.7,14.63,69.58,0.18,1,1.0
17,5.67,8.6,67.78,11.22,1,
18,17.31,23.01,55.08,-39.65,0,1.0
19,6.64,8.95,46.05,-2.9,1,
20,6.98,11.41,34.27,-14.91,1,
