Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,3.36,5.42,69.3,-9.23,0,
1,7.61,12.67,43.47,-24.22,1,1.0
2,2.85,4.78,49.95,-11.22,1,
3,8.02,15.06,67.48,-47.25,1,
4,6.05,9.07,47.12,-20.57,1,
5,0.0,0.0,,0.0,20,
6,8.85,13.07,46.89,-26.56,-1,
7,5.33,8.33,57.01,-17.97,1,
8,6.17,10.03,93.16,-16.89,1,
9,4.6,6.86,45.8,-5.91,-1,
10,17.94,25.77,37.37,-53.86,0,1.0
11,44.46,64.58,39.31,-159.43,0,1.0
12,6.06,9.02,43.96,-22.57,1,1.0
13,11.42,17.28,68.87,8.28,-3,-3.0
14,5.32,9.47,28.62,-21.84,0,
15,7.54,11.74,61.1,-23.28,1,
16,7.37,13.89,46.58,-7.95,1,1.0
17,3.93,6.28,32.09,-2.26,1,
18,16.17,22.79,38.31,-56.29,0,0.0
19,5.73,9.2,32.59,-17.07,1,
20,7.55,12.22,37.54,-25.46,1,
