model,reference_date,flusight_horizon,our_horizon,target_end_date,wis,rel_wis,baseline_wis
colagnn,2025-03-01,2,3,2025-03-15,72.11,0.449,249.94
colagnn,2025-03-01,3,4,2025-03-22,71.62,0.252,316.91
epignn,2025-03-01,1,2,2025-03-08,87.03,0.62,163.05
epignn,2025-03-01,2,3,2025-03-15,68.19,0.346,249.94
epignn,2025-03-01,3,4,2025-03-22,56.14,0.21,316.91
colagnn,2025-03-08,1,2,2025-03-15,89.08,0.86,142.9
colagnn,2025-03-08,2,3,2025-03-22,53.55,0.334,207.86
colagnn,2025-03-08,3,4,2025-03-29,42.92,0.186,268.48
epignn,2025-03-08,1,2,2025-03-15,69.92,0.627,142.9
epignn,2025-03-08,2,3,2025-03-22,48.87,0.288,207.86
epignn,2025-03-08,3,4,2025-03-29,36.41,0.172,268.48
colagnn,2025-03-15,1,2,2025-03-22,61.54,0.592,109.53
colagnn,2025-03-15,2,3,2025-03-29,36.18,0.268,162.31
colagnn,2025-03-15,3,4,2025-04-05,29.78,0.167,201.87
epignn,2025-03-15,1,2,2025-03-22,57.05,0.551,109.53
epignn,2025-03-15,2,3,2025-03-29,34.58,0.253,162.31
epignn,2025-03-15,3,4,2025-04-05,29.51,0.184,201.87
colagnn,2025-03-22,1,2,2025-03-29,34.73,0.402,89.21
colagnn,2025-03-22,2,3,2025-04-05,25.6,0.224,124.77
colagnn,2025-03-22,3,4,2025-04-12,22.58,0.158,148.7
epignn,2025-03-22,1,2,2025-03-29,35.59,0.413,89.21
epignn,2025-03-22,2,3,2025-04-05,23.79,0.22,124.77
epignn,2025-03-22,3,4,2025-04-12,22.28,0.177,148.7
colagnn,2025-03-29,1,2,2025-04-05,24.74,0.348,71.73
colagnn,2025-03-29,2,3,2025-04-12,17.94,0.222,91.18
colagnn,2025-03-29,3,4,2025-04-19,19.77,0.224,100.49
epignn,2025-03-29,1,2,2025-04-05,27.36,0.416,71.73
epignn,2025-03-29,2,3,2025-04-12,19.73,0.279,91.18
epignn,2025-03-29,3,4,2025-04-19,21.12,0.261,100.49
colagnn,2025-04-05,1,2,2025-04-12,15.22,0.331,51.26
colagnn,2025-04-05,2,3,2025-04-19,15.06,0.272,60.64
colagnn,2025-04-05,3,4,2025-04-26,18.41,0.278,66.17
epignn,2025-04-05,1,2,2025-04-12,18.84,0.454,51.26
epignn,2025-04-05,2,3,2025-04-19,17.89,0.361,60.64
epignn,2025-04-05,3,4,2025-04-26,18.87,0.308,66.17
colagnn,2025-04-12,1,2,2025-04-19,13.95,0.448,30.01
colagnn,2025-04-12,2,3,2025-04-26,13.85,0.327,36.63
colagnn,2025-04-12,3,4,2025-05-03,14.83,0.346,43.74
epignn,2025-04-12,1,2,2025-04-19,16.94,0.605,30.01
epignn,2025-04-12,2,3,2025-04-26,17.49,0.468,36.63
epignn,2025-04-12,3,4,2025-05-03,16.52,0.414,43.74
colagnn,2025-04-19,1,2,2025-04-26,15.41,0.63,18.97
colagnn,2025-04-19,2,3,2025-05-03,11.73,0.413,25.63
colagnn,2025-04-19,3,4,2025-05-10,13.94,0.408,30.38
epignn,2025-04-19,1,2,2025-04-26,19.05,0.854,18.97
epignn,2025-04-19,2,3,2025-05-03,19.65,0.69,25.63
epignn,2025-04-19,3,4,2025-05-10,19.11,0.575,30.38
colagnn,2025-04-26,1,2,2025-05-03,9.62,0.48,17.04
colagnn,2025-04-26,2,3,2025-05-10,10.41,0.413,22.36
colagnn,2025-04-26,3,4,2025-05-17,12.44,0.404,26.72
epignn,2025-04-26,1,2,2025-05-03,16.51,0.861,17.04
epignn,2025-04-26,2,3,2025-05-10,20.22,0.747,22.36
epignn,2025-04-26,3,4,2025-05-17,18.48,0.615,26.72
colagnn,2025-05-03,1,2,2025-05-10,9.34,0.52,14.66
colagnn,2025-05-03,2,3,2025-05-17,9.7,0.429,19.15
epignn,2025-05-03,1,2,2025-05-10,17.21,0.972,14.66
epignn,2025-05-03,2,3,2025-05-17,22.26,0.894,19.15
colagnn,2025-05-10,1,2,2025-05-17,7.85,0.481,13.68
epignn,2025-05-10,1,2,2025-05-17,15.8,1.022,13.68
