Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,7.58,11.57,30.58,-6.67,1,
1,69.91,112.27,30.19,-188.17,-4,
2,45.57,89.02,49.03,-286.34,1,
3,225.14,401.03,58.08,-1531.05,0,
4,359.71,565.53,27.88,-1122.17,-4,1.0
5,65.28,108.38,34.13,-216.82,1,
6,37.79,65.32,41.71,-186.8,1,
7,26.4,49.96,60.61,-160.71,-1,
8,24.85,44.75,43.46,-107.43,-4,
9,438.98,711.66,33.66,-1977.54,-3,4.0
10,171.95,305.48,46.52,-813.97,-3,
11,19.43,27.95,41.66,-70.09,1,
12,41.8,80.79,76.86,-253.09,1,
13,24.81,36.29,51.44,-11.66,1,
14,221.68,383.47,74.66,-1102.73,-4,
15,161.66,295.81,54.07,-763.12,0,
16,44.49,78.35,45.46,-213.2,-5,
17,93.46,169.85,47.23,-408.41,0,
18,68.35,97.83,28.82,-192.78,1,
19,137.53,266.25,39.58,-753.9,1,
20,94.12,183.84,45.22,-564.39,1,
21,20.75,38.55,53.64,-105.93,1,
22,169.63,302.86,59.67,-732.68,0,
23,97.74,160.44,49.76,-309.31,1,
24,114.87,216.73,53.44,-595.11,0,
25,37.84,68.84,30.13,-226.43,1,
26,19.78,35.94,50.09,-102.89,1,
27,224.39,421.31,44.6,-1417.08,-1,
28,8.84,15.36,37.73,-48.46,1,
29,30.43,55.95,44.91,-135.52,0,
30,19.65,34.2,38.52,-82.79,-1,
31,160.83,286.01,35.89,-771.99,-4,
32,27.68,37.53,62.25,-7.21,1,
33,24.2,36.43,39.13,-8.94,1,
34,301.66,492.04,44.3,-1044.72,-3,0.0
35,409.92,779.4,91.01,-2380.95,0,
36,61.1,125.46,47.83,-368.66,1,
37,48.99,79.17,34.23,27.27,-5,
38,566.4,1002.08,52.18,-2831.58,-2,3.0
39,22.97,41.76,52.41,-124.72,1,
40,132.01,263.78,45.74,-917.04,0,
41,12.67,27.45,63.08,-92.81,1,
42,97.51,151.44,47.09,-233.95,-4,
43,322.64,618.51,79.19,-2146.62,1,1.0
44,45.19,73.61,40.55,-242.29,0,
45,124.94,224.44,35.76,-692.45,1,
46,9.19,17.74,57.75,-50.4,1,
47,55.25,97.93,71.73,-173.04,-5,
48,106.96,204.15,51.75,-581.06,1,
49,57.07,107.15,51.12,-319.34,0,
50,14.16,22.16,64.67,-29.5,1,
