Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,3.56,5.7,71.55,-4.42,0,
1,7.14,12.29,39.46,-16.98,1,1.0
2,2.56,4.03,48.46,-4.48,1,
3,6.85,12.81,65.93,-24.37,1,
4,5.45,8.71,35.48,-10.52,0,
5,0.0,0.0,,0.0,20,
6,8.46,12.6,58.2,-23.21,1,
7,5.95,8.69,54.28,-14.9,1,
8,7.66,11.35,116.82,-8.04,1,
9,4.88,7.23,47.15,-2.23,-1,
10,18.28,25.9,50.03,-50.24,0,1.0
11,42.05,63.38,31.66,-130.93,0,1.0
12,6.26,9.26,75.25,-16.93,1,1.0
13,11.73,16.69,117.45,5.82,-2,-3.0
14,5.06,8.31,27.39,-13.23,0,
15,8.14,11.91,67.61,-11.51,1,
16,8.91,13.63,69.52,-0.28,1,1.0
17,4.69,7.2,44.01,-3.34,1,
18,18.39,26.2,67.98,-49.77,0,1.0
19,6.3,8.9,43.69,-11.64,1,
20,7.34,11.83,38.46,-18.78,1,
