Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,7.94,10.95,64.69,-3.01,1,
1,90.94,135.14,73.46,-260.17,-3,
2,45.42,79.92,102.1,-258.36,1,
3,289.91,482.69,92.03,-1681.7,1,
4,400.31,604.24,54.18,-1396.03,-3,1.0
5,87.02,137.07,69.44,-282.75,1,
6,41.41,60.08,98.13,-153.28,0,
7,31.66,54.62,124.23,-171.03,1,
8,31.0,51.87,72.16,-121.46,-4,
9,521.33,790.84,52.07,-2153.37,-3,
10,206.21,333.04,90.46,-872.34,-3,
11,23.07,32.25,54.09,-74.88,1,
12,45.06,75.05,279.42,-245.2,1,
13,25.66,40.96,72.72,-56.7,1,
14,274.96,417.11,203.01,-1162.83,-4,
15,192.43,314.14,170.89,-831.48,0,
16,56.91,88.48,147.66,-217.88,-5,
17,115.13,181.16,123.26,-465.77,0,
18,82.41,112.27,49.71,-219.35,1,
19,151.91,261.36,84.12,-744.09,1,
20,109.87,188.2,124.67,-572.58,1,
21,21.39,30.83,140.24,-76.51,1,
22,182.87,282.34,162.46,-682.43,0,
23,120.44,183.15,128.57,-399.72,1,
24,143.51,237.16,106.07,-657.3,0,
25,43.23,74.77,49.49,-241.53,1,
26,22.76,36.49,76.41,-107.03,1,
27,273.05,442.51,116.39,-1379.49,1,
28,8.26,13.79,55.02,-43.72,1,
29,37.71,61.7,97.29,-149.16,-4,
30,21.19,32.74,80.46,-80.94,-1,
31,181.17,284.53,101.01,-801.8,0,
32,27.1,35.19,133.09,-14.92,1,
33,26.27,41.4,77.09,-11.55,1,
34,351.92,523.13,128.65,-1218.42,-3,1.0
35,489.74,809.1,241.1,-2370.97,1,
36,66.0,119.12,109.68,-311.83,1,
37,55.19,84.27,82.94,-28.45,-5,
38,649.72,1039.71,85.9,-2817.13,0,4.0
39,26.48,43.43,89.7,-126.08,1,
40,154.24,268.01,126.59,-853.97,1,
41,13.22,26.25,93.07,-91.09,1,
42,120.82,189.23,63.14,-321.9,-4,
43,376.4,664.95,227.41,-2243.75,1,1.0
44,56.49,86.96,63.79,-249.47,1,
45,152.18,248.38,76.81,-744.71,1,
46,9.26,15.54,63.69,-46.52,1,
47,63.53,95.05,265.63,-198.13,-5,
48,118.94,200.45,139.62,-555.87,0,
49,66.33,107.52,134.45,-304.91,0,
50,16.89,24.7,100.99,-39.48,1,
