Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,3.7,5.88,70.2,-4.57,0,
1,7.39,12.67,39.98,-16.55,1,1.0
2,2.55,3.98,46.54,-5.07,1,
3,6.93,12.93,57.7,-29.07,1,
4,5.7,8.88,50.18,-9.04,0,
5,0.0,0.0,,0.0,21,
6,7.92,11.91,47.39,-22.36,-2,
7,6.08,8.88,54.54,-15.17,0,
8,7.51,11.66,108.32,-8.48,1,
9,4.72,6.65,57.86,-0.62,-1,
10,17.64,24.41,52.55,-40.36,0,1.0
11,45.42,66.13,42.16,-133.22,0,1.0
12,5.99,9.2,55.93,-15.45,1,1.0
13,11.21,16.79,68.07,15.41,-2,-3.0
14,4.79,7.97,28.59,-13.94,0,0.0
15,8.25,12.43,66.57,-15.73,1,
16,7.87,12.84,62.55,-5.48,1,1.0
17,4.38,7.09,42.41,-0.17,1,
18,18.12,26.12,51.26,-45.57,0,1.0
19,5.98,9.05,34.92,-6.68,1,
20,7.39,11.66,36.87,-18.55,0,
