Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,3.9,5.97,85.8,-3.29,0,
1,7.11,12.03,44.43,-33.24,1,0.0
2,2.94,4.83,47.13,-13.97,0,
3,13.49,25.33,100.73,-73.69,-1,
4,5.99,9.52,43.0,2.48,1,
5,0.0,0.0,,0.0,21,
6,8.28,11.28,66.03,-22.69,-2,
7,5.75,8.32,77.77,-15.97,0,
8,7.62,11.17,102.83,-18.04,1,
9,5.57,8.65,52.04,6.15,-1,
10,15.52,23.39,54.81,-40.06,0,1.0
11,33.44,49.59,39.81,-137.05,0,1.0
12,6.45,8.68,86.37,-7.28,1,1.0
13,14.84,19.4,192.73,13.43,-1,-3.0
14,3.36,5.89,30.66,-7.82,0,0.0
15,7.59,11.38,82.57,-19.7,1,
16,10.45,16.87,80.26,20.48,1,1.0
17,5.43,8.34,46.14,3.84,1,
18,14.89,21.33,71.66,-47.22,0,1.0
19,7.02,10.52,47.17,-1.86,1,
20,6.61,10.34,40.31,-16.65,0,
