Rank,Model,WIS,Rel. WIS,Sharpness,Calibration,N weeks,Horizons
1,FluSight-trained_med,109.16,0.555,35.15,74.01,17,{2: 17}
2,FluSight-trained_mean,113.72,0.64,42.15,71.57,17,{2: 17}
3,FluSight-lop_norm,119.73,0.642,37.01,82.71,23,{2: 23}
4,CMU-TimeSeries,126.07,0.665,39.77,86.3,23,{2: 23}
5,CEPH-Rtrend_fluH,125.67,0.67,24.76,100.91,23,{2: 23}
6,CU-ensemble,133.42,0.681,24.48,108.94,23,{2: 23}
7,FluSight-ensemble,129.01,0.689,26.53,102.48,23,{2: 23}
8,UNC_IDD-InfluPaint,130.27,0.695,13.2,117.07,18,{2: 18}
9,PSI-PROF,133.61,0.728,38.34,95.27,24,{2: 24}
10,ISU_NiemiLab-GPE,149.4,0.777,28.72,120.67,19,{2: 19}
11,PSI-PROF_beta,145.09,0.789,37.62,107.47,22,{2: 22}
12,UGuelph-CompositeCurve,143.52,0.796,52.51,91.01,11,{2: 11}
13,LosAlamos_NAU-CModel_Flu,155.81,0.823,43.74,112.07,20,{2: 20}
14,UMass-AR2,153.78,0.845,30.21,123.57,22,{2: 22}
15,CMU-climate_baseline,167.96,0.864,38.35,129.61,22,{2: 22}
16,MIGHTE-Nsemble,174.77,0.869,19.93,154.85,22,{2: 22}
17,UVAFluX-CESGCN,178.75,0.889,8.37,170.38,17,{2: 17}
18,Gatech-ensemble_point,170.21,0.896,20.87,149.34,23,{2: 23}
19,UVAFluX-Ensemble,162.22,0.91,51.91,110.3,24,{2: 24}
20,OHT_JHU-nbxd,176.25,0.912,32.0,144.25,22,{2: 22}
21,MIGHTE-Joint,182.56,0.922,21.94,160.61,20,{2: 20}
22,UI_CompEpi-EpiGen,175.61,0.938,20.54,155.07,18,{2: 18}
23,FluSight-baseline,193.29,1.0,15.99,177.3,23,{2: 23}
24,UM-DeepOutbreak,189.48,1.009,48.31,141.16,24,{2: 24}
25,Gatech-ensemble_prob,197.7,1.016,19.24,178.46,23,{2: 23}
26,UGA_CEID-Walk,210.03,1.111,41.17,168.85,21,{2: 21}
27,JHUAPL-DMD,227.1,1.133,45.7,181.41,23,{2: 23}
28,Stevens-ILIForecast,255.05,1.278,6.03,249.02,20,{2: 20}
