Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,9.56,12.14,125.82,3.73,1,
1,72.0,96.86,149.33,15.39,1,
2,53.91,74.3,402.11,10.57,1,
3,182.24,342.27,86.63,182.1,1,
4,379.53,476.31,127.85,-114.11,1,1.0
5,62.33,96.5,160.41,53.15,1,
6,43.58,57.59,241.79,-2.86,1,
7,26.15,49.29,140.33,25.59,1,
8,20.79,33.35,93.94,16.03,1,
9,264.74,346.55,60.87,152.99,1,1.0
10,115.98,182.07,173.0,129.82,1,
11,11.22,16.54,69.62,13.08,1,
12,39.68,53.96,455.59,21.03,1,
13,32.92,44.79,207.83,23.36,1,
14,157.96,211.28,614.62,55.45,1,1.0
15,130.08,181.32,405.32,64.82,0,1.0
16,43.03,61.03,232.1,10.39,1,
17,97.48,140.32,347.26,68.48,0,
18,70.57,89.41,82.57,-0.4,1,
19,106.0,141.16,149.56,29.34,1,
20,73.61,110.66,295.4,47.82,1,
21,21.46,27.55,185.3,0.33,1,
22,139.82,170.94,435.01,-46.33,1,1.0
23,71.52,105.99,131.14,68.34,1,
24,108.7,156.91,460.84,29.93,1,
25,47.65,67.15,101.25,29.54,1,
26,15.02,19.49,97.34,4.84,1,
27,139.49,223.1,71.67,150.04,1,0.0
28,10.66,14.38,144.41,-0.66,1,
29,27.13,39.42,186.07,10.73,1,
30,16.45,22.04,122.52,-2.95,1,
31,144.27,189.01,302.59,8.11,1,
32,34.91,42.03,327.97,3.5,1,
33,40.67,51.29,249.96,7.89,1,
34,228.79,299.54,341.61,23.67,1,0.0
35,254.68,354.36,413.01,286.43,1,1.0
36,83.59,120.14,270.78,59.4,1,
37,69.37,87.28,213.96,9.46,-5,
38,261.52,373.96,122.88,311.17,1,1.0
39,14.66,21.11,80.42,12.41,1,
40,91.02,160.78,165.25,140.34,1,
41,13.42,21.04,184.02,8.25,1,
42,110.67,155.91,206.65,37.61,-4,
43,346.4,512.18,607.72,192.03,1,1.0
44,27.55,45.46,80.08,40.43,1,
45,97.54,137.31,113.45,64.84,1,
46,10.25,14.38,118.95,4.31,1,
47,78.4,93.9,548.14,13.41,1,
48,71.04,98.14,303.88,19.48,1,
49,42.37,60.25,140.18,6.17,1,
50,14.27,21.97,99.05,5.98,1,
