dataset,model,horizon,fold_season,ratio,c_u,c_o,scope,total_cost,under_cost,over_cost,service_level,n_weeks,n_regions
Sweden-CV-multihorizon,MEx-EpiGNN-SE,1,2021/22,3:1,3,1,fold,15046.107996551886,11364.274192847697,3681.8338037041894,0.6738816738816739,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,1,2021/22,5:1,5,1,fold,21290.737117119916,16419.580806832313,4871.156310287601,0.7604617604617605,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,1,2021/22,10:1,10,1,fold,35026.280997081216,28184.193505241463,6842.08749183975,0.8326118326118326,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,1,2022/23,2:1,2,1,fold,11951.878622261538,6695.722835981827,5256.155786279713,0.6190476190476191,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,1,2022/23,3:1,3,1,fold,13904.826527486994,7624.412479699338,6280.414047787656,0.7041847041847041,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,1,2022/23,5:1,5,1,fold,17879.213997175044,9103.229912595936,8775.984084579106,0.7748917748917749,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,1,2022/23,10:1,10,1,fold,24744.93112066007,12744.108884930392,12000.822235729676,0.8643578643578643,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,1,2023/24,2:1,2,1,fold,7662.9100127198435,1553.7539310109541,6109.156081708889,0.7676767676767676,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,1,2023/24,3:1,3,1,fold,9065.669217583412,1586.9216809897139,7478.747536593699,0.8326118326118326,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,1,2023/24,5:1,5,1,fold,10999.601948229632,1487.7845248339572,9511.817423395678,0.8932178932178932,33,21
Sweden-CV-multihorizon,MEx-EpiGNN-SE,1,2023/24,10:1,10,1,fold,13609.866011779031,1548.7624916996228,12061.103520079409,0.9393939393939394,33,21
