Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,3.34,5.36,74.59,-1.06,0,
1,8.0,13.62,59.41,-22.04,1,0.0
2,3.24,5.28,51.33,-15.01,0,
3,15.06,27.23,106.21,-70.78,-1,
4,5.55,8.7,46.72,-0.37,1,
5,0.0,0.0,,0.0,21,
6,8.66,12.54,72.31,-16.92,-2,
7,6.44,9.84,81.38,-16.38,-2,
8,7.36,11.2,139.36,-12.37,1,
9,4.68,7.47,52.42,3.76,-1,
10,17.93,25.57,57.08,-25.83,0,1.0
11,36.42,53.82,45.09,-71.37,0,1.0
12,5.93,9.32,45.8,-24.77,1,1.0
13,11.08,16.09,82.37,16.04,-1,-3.0
14,4.02,6.44,32.66,8.3,0,0.0
15,8.36,12.01,71.25,-18.53,1,
16,8.76,15.25,66.26,11.42,1,1.0
17,5.01,7.99,56.57,7.18,1,
18,17.67,26.14,35.88,-22.91,0,1.0
19,6.99,10.16,53.13,-6.5,1,
20,6.79,10.77,48.03,-1.99,0,
