Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,3.87,5.88,76.9,0.29,0,
1,7.81,11.92,82.61,-18.84,1,0.0
2,2.95,4.39,48.18,-10.06,1,
3,11.1,19.09,103.87,-66.31,-1,
4,5.99,9.31,51.94,3.69,0,
5,0.0,0.0,,0.0,21,
6,8.47,11.89,76.9,-21.43,-2,
7,5.63,8.31,62.64,-16.43,0,
8,7.36,11.13,108.05,-9.51,1,
9,5.48,7.83,82.67,4.46,-1,
10,17.57,22.89,99.22,-38.05,0,1.0
11,34.98,48.24,60.09,-90.94,0,1.0
12,6.99,9.64,82.05,-9.86,1,1.0
13,18.43,21.89,279.18,18.96,-2,-3.0
14,3.57,6.09,47.73,-3.67,0,0.0
15,7.9,11.47,82.63,-9.01,1,
16,9.64,15.86,85.96,17.8,1,1.0
17,5.38,7.74,58.62,1.58,1,
18,18.6,25.92,63.15,-46.26,0,1.0
19,6.78,9.71,47.04,0.4,1,
20,7.32,12.01,45.61,-11.97,0,
