Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,8.86,12.18,73.15,-15.39,1,
1,86.86,120.83,96.97,-182.16,1,
2,61.51,86.7,234.52,-121.89,1,
3,263.67,445.8,122.96,-1457.07,1,
4,517.3,693.57,92.28,-1181.38,1,1.0
5,74.29,111.44,122.46,-216.31,1,
6,54.07,72.99,167.52,-60.26,1,
7,27.3,46.8,112.3,-128.22,1,
8,24.81,39.19,87.1,-84.19,1,
9,468.2,659.33,55.61,-1612.02,1,4.0
10,168.53,273.2,115.0,-684.18,1,
11,19.75,27.86,52.97,-67.3,1,
12,42.72,63.87,584.01,-124.34,1,
13,44.14,59.08,205.82,-48.96,1,
14,235.6,336.06,222.24,-707.39,1,
15,156.39,227.13,191.03,-428.67,0,
16,45.3,66.92,174.66,-132.16,0,
17,120.86,166.94,256.38,-102.55,0,
18,81.52,111.06,66.09,-219.56,1,
19,147.17,203.52,149.44,-414.18,1,
20,94.65,147.28,176.19,-353.19,1,
21,22.38,32.38,206.68,-45.06,2,
22,174.39,236.42,133.57,-371.72,0,
23,112.62,167.95,171.08,-321.29,1,
24,139.79,184.37,242.06,-280.59,0,
25,47.11,68.48,91.58,-145.27,1,
26,20.25,28.43,90.4,-59.68,1,
27,216.04,344.25,120.37,-1026.79,1,
28,12.5,16.74,99.29,-24.39,1,
29,31.7,46.26,175.26,-82.36,1,
30,20.21,27.02,148.13,-36.25,1,
31,182.34,268.09,113.55,-520.89,1,
32,48.7,68.74,200.35,-19.28,1,
33,63.79,86.14,195.83,-21.11,1,
34,349.66,487.08,174.25,-856.65,1,1.0
35,378.51,612.53,222.76,-1809.29,0,2.0
36,110.07,143.87,338.57,-154.87,1,
37,88.7,118.22,175.73,18.77,1,
38,536.2,791.27,91.78,-2046.87,0,3.0
39,21.97,35.34,94.86,-94.29,1,
40,125.84,229.14,87.89,-733.56,1,
41,14.57,22.51,249.52,-49.37,1,
42,127.41,172.58,156.21,-153.55,1,
43,392.12,606.57,214.04,-1485.44,1,4.0
44,44.76,70.46,65.3,-224.9,1,
45,123.28,180.96,105.9,-439.78,1,
46,11.38,17.24,189.39,-23.58,1,
47,83.96,115.84,176.1,-70.76,1,
48,106.74,158.65,174.38,-382.7,1,
49,55.59,79.17,188.21,-175.49,0,
50,16.93,22.33,185.18,-30.69,1,
