Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,3.49,5.71,69.72,-3.52,0,
1,7.07,11.87,36.4,-14.34,1,1.0
2,2.57,4.16,46.13,-8.84,1,
3,8.14,14.75,70.28,-47.77,1,
4,5.39,8.55,37.34,-7.66,1,
5,0.0,0.0,,0.0,13,
6,7.69,10.75,52.5,-15.41,-1,1.0
7,5.26,7.75,54.74,-12.97,0,
8,7.07,10.92,105.25,-7.99,1,
9,3.97,6.13,40.52,-2.64,-1,
10,17.5,25.38,43.38,-19.7,0,1.0
11,38.01,55.4,32.73,-104.86,0,1.0
12,5.93,8.48,43.14,-13.63,1,1.0
13,10.2,15.52,81.49,2.91,-10,-3.0
14,4.0,7.8,22.53,-9.77,0,
15,7.43,11.19,54.93,-14.86,1,
16,7.95,14.36,57.27,-1.77,1,1.0
17,4.37,7.21,36.22,5.11,1,
18,15.61,22.42,32.19,-29.01,0,1.0
19,6.7,9.24,34.7,-5.97,1,
20,6.97,11.6,34.09,-15.27,1,
