Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,7.13,10.67,38.27,1.81,1,
1,53.02,87.76,37.38,-52.22,-3,
2,40.33,69.89,79.65,-9.42,1,
3,166.49,308.11,63.81,-179.1,1,
4,245.01,389.94,31.28,-557.89,-3,0.0
5,49.14,92.89,37.38,8.95,1,
6,30.67,48.04,62.54,-32.81,1,
7,21.69,43.41,75.68,-23.97,1,
8,17.45,31.03,33.93,-29.35,1,
9,182.43,314.85,28.69,-440.36,1,1.0
10,97.83,157.12,50.47,-181.91,1,
11,9.37,15.53,27.22,-6.33,1,
12,28.98,49.02,89.28,-25.71,1,
13,23.04,41.33,62.22,15.45,1,
14,114.29,197.29,138.62,-280.17,1,1.0
15,100.67,171.3,93.65,-123.04,0,
16,35.06,58.34,58.89,-51.33,1,
17,75.14,135.98,71.88,-76.78,1,
18,52.57,78.77,28.7,-9.46,1,
19,67.45,123.47,39.86,-87.73,1,
20,56.43,99.27,63.63,-83.76,1,
21,15.01,23.44,70.46,-6.99,1,
22,101.4,151.84,106.34,-125.36,1,1.0
23,52.11,94.54,53.91,11.74,1,
24,91.7,150.38,88.26,-139.22,1,
25,33.66,60.05,26.26,-27.86,1,
26,11.02,18.58,49.43,-19.52,1,
27,119.65,195.78,39.83,-216.58,1,
28,8.2,12.64,44.63,-6.55,1,
29,21.85,36.94,41.67,-32.56,1,
30,12.41,19.43,35.24,-20.73,-1,
31,93.18,161.25,56.61,-215.17,1,
32,22.41,32.21,94.13,6.41,1,
33,23.1,41.2,56.03,13.08,1,
34,137.73,258.14,59.63,-329.81,1,0.0
35,193.75,319.6,136.86,-372.36,1,1.0
36,65.97,114.65,73.76,4.4,1,
37,46.77,79.06,48.94,27.84,-5,
38,208.3,339.85,48.54,-534.38,1,1.0
39,11.05,19.08,34.2,-20.59,1,
40,73.95,138.55,55.77,-113.19,1,
41,10.72,20.3,61.42,-4.1,1,
42,93.1,144.96,56.5,16.39,-4,
43,251.86,459.24,162.01,-320.08,1,1.0
44,24.69,41.8,31.57,-21.19,1,
45,69.25,127.69,30.51,-115.65,1,
46,8.2,13.14,47.21,-0.8,1,
47,52.57,85.08,130.13,-69.2,1,
48,51.1,83.04,77.02,-84.19,1,
49,33.57,58.42,58.31,-40.69,1,
50,12.88,19.95,57.18,1.42,1,
