Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,7.3,10.51,41.62,0.6,1,
1,65.64,101.74,45.87,-121.15,-3,
2,40.39,72.24,52.68,-122.74,1,
3,196.47,328.09,60.2,-720.94,1,
4,296.6,492.04,31.98,-830.55,-3,0.0
5,57.75,99.86,40.72,-92.85,1,
6,31.33,53.1,51.62,-102.33,1,
7,24.74,43.23,90.39,-81.46,1,
8,20.14,35.68,52.62,-72.99,-4,
9,296.37,481.96,28.36,-1221.07,1,1.0
10,120.13,206.9,43.44,-483.86,1,
11,12.58,19.33,31.89,-31.66,1,
12,28.99,56.82,133.86,-123.08,1,
13,24.9,41.89,53.68,-6.67,1,
14,158.5,276.12,68.16,-678.61,1,
15,117.54,217.05,60.12,-428.98,0,
16,38.04,66.39,65.74,-137.89,1,
17,79.53,148.86,62.22,-251.89,0,
18,65.27,91.64,38.29,-77.07,1,
19,96.31,167.8,35.44,-351.21,1,
20,64.75,124.76,53.83,-288.4,1,
21,15.24,25.71,58.74,-40.86,1,
22,119.51,203.14,34.97,-374.27,1,
23,70.88,115.46,82.59,-133.0,1,
24,104.43,175.22,56.17,-347.05,1,
25,37.66,63.51,45.14,-124.25,1,
26,13.73,24.12,52.58,-52.32,1,
27,150.67,265.97,66.79,-701.99,1,
28,7.53,12.69,43.51,-23.6,1,
29,26.02,44.46,54.32,-85.96,1,
30,14.95,24.55,34.53,-50.57,-1,
31,117.64,206.98,38.49,-521.02,1,
32,23.44,33.73,69.25,3.83,1,
33,23.72,40.12,40.29,10.89,1,
34,223.69,356.93,45.89,-718.98,-3,1.0
35,273.49,469.65,133.89,-1175.05,1,2.0
36,61.95,114.26,60.35,-154.3,1,
37,53.18,84.56,42.94,14.75,-5,
38,348.08,584.55,37.9,-1561.62,1,1.0
39,15.52,26.74,62.13,-62.15,1,
40,89.19,168.77,60.34,-416.69,1,
41,10.05,20.8,67.5,-40.97,1,
42,99.59,152.7,48.46,-99.61,-4,
43,290.15,521.53,81.24,-1199.57,1,1.0
44,30.11,51.39,40.51,-106.4,1,
45,93.87,163.12,47.25,-376.77,1,
46,7.53,13.33,63.3,-21.53,1,
47,58.34,93.34,44.45,-161.71,1,
48,69.39,122.54,58.5,-286.71,1,
49,40.55,72.88,68.54,-148.34,1,
50,13.42,20.32,78.47,-12.22,1,
