Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,9.2,12.38,62.82,-9.06,1,
1,68.37,103.8,48.74,-166.3,-4,
2,43.72,78.69,63.22,-185.86,1,
3,201.76,348.61,59.01,-1203.14,1,
4,356.6,519.85,45.64,-1098.77,-4,0.0
5,60.94,98.72,37.47,-161.5,1,
6,37.51,60.97,58.15,-149.32,1,
7,25.73,46.0,67.61,-122.67,1,
8,21.88,37.35,45.82,-87.58,1,
9,386.77,578.02,36.98,-1496.64,1,4.0
10,137.5,243.61,40.93,-644.75,1,
11,16.42,23.03,47.49,-51.04,1,
12,35.87,67.32,134.85,-168.88,1,
13,22.7,33.74,55.27,-17.33,1,
14,195.52,312.2,69.06,-820.85,1,
15,138.77,233.34,72.16,-518.81,0,
16,41.07,67.22,90.39,-161.52,1,
17,82.44,146.75,69.58,-249.81,0,
18,68.68,93.62,41.5,-170.55,1,
19,115.4,205.42,42.2,-522.79,1,
20,78.17,145.86,49.49,-388.9,1,
21,20.72,33.98,119.58,-59.26,1,
22,157.1,253.45,51.63,-543.68,1,
23,85.96,136.88,53.3,-211.93,1,
24,104.74,177.03,47.34,-420.08,0,
25,37.6,63.64,46.99,-136.37,1,
26,15.7,28.19,39.91,-65.91,1,
27,182.69,330.73,52.67,-1028.81,1,
28,9.12,14.54,55.01,-35.81,1,
29,26.21,46.36,56.09,-82.82,0,
30,16.71,26.87,47.07,-61.88,-1,
31,153.93,249.98,64.3,-655.5,1,
32,26.66,34.18,66.59,-40.42,1,
33,26.0,35.56,53.96,-41.72,1,
34,264.93,423.43,46.46,-928.56,-3,1.0
35,320.88,578.06,99.76,-1689.6,1,2.0
36,59.05,112.65,81.83,-206.21,1,
37,46.16,67.47,51.64,-8.36,-5,
38,448.2,744.56,41.88,-2009.35,1,3.0
39,18.87,32.4,56.17,-89.25,1,
40,106.89,212.3,56.62,-690.65,1,
41,11.11,22.62,74.15,-58.77,1,
42,97.02,147.19,40.9,-202.97,-4,
43,308.23,533.38,70.12,-1369.54,1,4.0
44,36.04,59.15,42.85,-194.32,1,
45,104.74,179.19,38.14,-485.66,1,
46,9.43,15.79,86.7,-32.0,1,
47,59.23,85.52,85.87,-157.59,1,
48,87.81,157.81,57.1,-426.72,1,
49,48.05,85.24,74.48,-194.02,0,
50,14.39,21.65,61.72,-22.61,1,
