Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,3.98,5.95,87.76,-5.22,0,
1,8.24,13.19,68.43,-29.5,1,0.0
2,3.14,4.73,59.62,-11.3,1,
3,10.38,18.61,103.48,-68.36,1,
4,6.26,9.19,69.14,-9.2,1,
5,0.0,0.0,,0.0,20,
6,8.96,12.64,74.96,-25.97,-2,
7,5.99,9.1,79.41,-18.58,0,
8,7.43,11.27,153.36,-15.15,1,
9,6.1,7.88,98.56,-2.83,-1,
10,20.87,27.54,97.97,-59.86,0,1.0
11,46.05,61.92,76.67,-144.11,0,1.0
12,6.37,9.82,57.44,-20.24,1,1.0
13,14.65,17.3,192.98,-11.14,-10,-1.0
14,5.64,8.17,67.01,-12.93,0,0.0
15,8.93,12.53,77.42,-16.95,1,
16,9.73,15.18,70.85,5.84,1,1.0
17,5.43,8.02,64.98,-2.22,1,
18,18.96,26.29,39.43,-56.93,0,1.0
19,6.47,9.86,51.26,-9.32,1,
20,7.42,11.61,60.65,-23.51,0,
