Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,9.63,15.56,37.47,29.99,1,
1,54.42,87.68,25.17,-95.97,-3,
2,33.62,66.16,39.41,-162.42,1,
3,182.04,336.52,50.11,-1039.53,1,
4,226.88,395.01,20.25,-261.98,-3,0.0
5,54.25,97.11,27.42,-77.21,1,
6,24.79,41.97,34.48,-70.58,1,
7,23.06,41.55,62.13,-115.49,-1,
8,19.2,33.95,33.08,-65.49,-4,
9,294.61,461.27,28.33,-1230.47,-3,1.0
10,131.16,238.84,40.86,-619.04,-3,
11,13.45,19.44,33.26,-37.9,1,
12,25.52,50.69,49.39,-139.54,1,
13,25.48,42.95,47.92,-1.0,1,
14,146.35,249.39,66.86,-725.18,1,
15,113.6,203.29,44.19,-442.81,0,
16,36.43,62.97,35.62,-117.39,-5,
17,75.91,132.88,35.64,-169.27,0,
18,47.47,77.81,23.31,-10.01,1,
19,92.93,169.21,29.06,-446.62,1,
20,63.75,125.7,36.65,-380.45,1,
21,16.4,27.78,55.02,-49.89,1,
22,119.6,198.14,55.02,-405.32,0,
23,62.66,110.73,45.75,-128.02,1,
24,91.69,158.31,45.21,-348.56,0,
25,32.52,54.3,26.61,-130.04,1,
26,16.2,27.38,45.58,-78.81,1,
27,159.45,299.59,32.74,-1065.25,0,
28,5.75,10.61,32.17,-25.7,1,
29,25.03,42.35,36.83,-84.81,0,
30,14.2,21.64,32.25,-43.44,-1,
31,97.98,170.3,28.65,-419.67,-1,
32,25.97,42.09,55.02,73.78,1,
33,24.64,53.02,32.86,87.72,1,
34,191.43,306.12,33.29,-591.52,-3,0.0
35,309.04,582.14,79.6,-1860.16,0,2.0
36,46.13,101.02,36.74,-212.09,1,
37,56.64,98.12,30.75,120.1,-4,
38,422.53,728.0,46.82,-2156.87,0,1.0
39,17.19,30.01,42.89,-93.67,1,
40,96.2,200.66,37.54,-718.29,1,
41,9.69,19.72,51.11,-57.04,1,
42,87.33,137.31,40.64,-25.23,-4,
43,240.3,452.05,75.15,-1421.66,1,1.0
44,34.56,58.92,33.77,-178.96,1,
45,91.16,160.24,27.49,-469.48,1,
46,6.8,11.72,55.86,-24.64,1,
47,59.24,103.47,73.28,2.7,-4,
48,68.69,126.64,40.83,-369.22,0,
49,44.19,76.64,40.22,-191.47,0,
50,12.2,19.68,53.81,-4.24,1,
