Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,3.79,6.09,64.04,-5.67,0,
1,7.22,12.47,43.15,-19.24,1,1.0
2,2.71,4.16,45.79,-5.35,1,
3,7.0,13.16,60.07,-24.08,1,
4,5.52,8.97,29.53,-14.82,0,
5,0.0,0.0,,0.0,18,
6,9.09,12.75,68.5,-25.51,1,
7,5.93,8.73,52.99,-15.33,4,
8,8.02,12.26,102.99,-8.82,1,
9,4.61,6.88,31.76,-6.65,-1,
10,18.93,27.83,70.4,-55.8,0,1.0
11,41.18,62.63,39.25,-124.23,0,1.0
12,6.24,9.8,70.16,-20.26,1,
13,13.08,16.95,201.87,6.52,-5,-3.0
14,5.4,8.87,47.57,-14.44,0,
15,8.49,12.15,65.04,-12.87,1,
16,7.76,12.82,57.25,-5.31,1,1.0
17,4.95,7.01,47.3,-7.4,1,
18,18.33,26.7,70.35,-52.5,0,1.0
19,6.35,10.23,48.31,-11.59,1,
20,7.32,12.06,36.89,-22.33,1,
